epoch,train_loss,val_loss,val_macro_f1,lr
1,1.1146691877434056,0.8974277063172054,0.6413231460715303,0.0009990133642141358
2,0.7213814003543341,1.3697669726451425,0.5648652618752945,0.000996057350657239
3,0.5820428205877178,0.8028786643401598,0.549963215784537,0.0009911436253643444
4,0.5124166562463006,0.6569168564234161,0.6805051048471459,0.0009842915805643156
5,0.4318042604774207,0.9605710187680838,0.5728464765724385,0.0009755282581475769
6,0.3690734726172449,0.8084899095003282,0.6271793218235108,0.0009648882429441258
7,0.3290446053916902,0.7471828463519313,0.6794357248368741,0.0009524135262330099
8,0.30378520089057437,0.5602603233959097,0.7863825124423024,0.0009381533400219318
9,0.26285235009516866,0.5492724883585315,0.6880471756312443,0.0009221639627510075
10,0.24896013805947853,0.5205128351051622,0.6675272337427541,0.0009045084971874736
11,0.218190688635202,0.49817586518731194,0.7726517278537289,0.0008852566213878945
12,0.19192679821243605,0.6334796390029761,0.7589098028663959,0.0008644843137107056
13,0.1817148191828387,0.6886838618056372,0.8075671100102277,0.0008422735529643443
14,0.1562751390240303,1.030208413594167,0.4736076744121342,0.0008187119948743448
15,0.1382233189026394,0.5749062025028621,0.7567172047654037,0.0007938926261462366
16,0.12503478131405008,0.7236041985881929,0.7848861860503678,0.0007679133974894982
17,0.10993312018396227,0.5332889494288746,0.7468655666606414,0.0007408768370508576
18,0.10300527770225586,0.5223470166872595,0.7771020835739973,0.0007128896457825362
19,0.10556253448223722,0.5871025518907416,0.7706260489055219,0.0006840622763423389
20,0.07110378138343365,1.1746307387805877,0.7863369576321999,0.0006545084971874735
21,0.08689348078042669,0.6115868975555309,0.786701803288871,0.0006243449435824271
22,0.07492555700686118,0.5832495139221436,0.7938032474902051,0.0005936906572928622
23,0.05327756718876365,0.9862669845643437,0.7550561897295818,0.000562666616782152
