experiment,accuracy,macro_f1,kappa,f1_Center,f1_Donut,f1_Edge-Loc,f1_Edge-Ring,f1_Loc,f1_Near-full,f1_Random,f1_Scratch,f1_none
exp_A_cnn_scratch,0.9723239409474618,0.8501975068301341,0.8949761958266061,0.9288569144684252,0.7354838709677419,0.8035375868603917,0.9723756906077348,0.7317073170731707,0.9545454545454546,0.852589641434263,0.6840390879478827,0.9886419975661423
exp_B_transfer,0.9723624869907104,0.846823867161794,0.8951082529509625,0.9353078721745908,0.7898089171974523,0.8158602150537635,0.9739726027397261,0.7323943661971831,1.0,0.8854961832061069,0.5,0.988574647887324
exp_C_class_weight,0.9408703696565548,0.7919202091267931,0.8013247095483257,0.873481057898499,0.8074534161490683,0.6712113266911379,0.9642730810045985,0.5410036719706243,0.7719298245614035,0.8363636363636363,0.689873417721519,0.9716924497806512
exp_D_focal_loss,0.9725552172069537,0.8609186798689867,0.8972866389147209,0.9389373513084853,0.7878787878787878,0.7997448979591837,0.9789727680110307,0.7347310847766636,0.9361702127659575,0.8674698795180723,0.7159763313609467,0.9883868052417533
exp_E_augmentation,0.976833828007555,0.8741327644227196,0.9118579710928499,0.9324009324009324,0.779874213836478,0.8331090174966352,0.9767280305661689,0.7755102040816326,0.9545454545454546,0.8309859154929577,0.7934782608695652,0.9905628505146512
exp_F_svm,0.9639979956057511,0.7990658428821822,0.8572106986590444,0.8984812150279776,0.7790697674418605,0.7121745249824067,0.9742533470648815,0.5363528009535161,1.0,0.8352490421455939,0.47058823529411764,0.9854236530292868
