epoch,train_loss,val_loss,val_macro_f1,lr
1,0.12366698641394747,0.07083176754264117,0.646714667548117,0.0009990133642141358
2,0.0670108365161219,0.06913737391776982,0.6984682418957824,0.000996057350657239
3,0.055908364540132524,0.0478259899187492,0.7393648218449266,0.0009911436253643444
4,0.04808579335185018,0.06205695763790958,0.6788776391066166,0.0009842915805643156
5,0.04154415156079057,0.06442826977194571,0.7730303302360242,0.0009755282581475769
6,0.03625906352599941,0.05797199103542573,0.7881292512838652,0.0009648882429441258
7,0.03194637118249704,0.04652842555854339,0.7873820989806227,0.0009524135262330099
8,0.02828061422936853,0.04126511855625705,0.8429410083380966,0.0009381533400219318
9,0.02331409344048013,0.07755261137466761,0.8285615765697388,0.0009221639627510075
10,0.019443834415900176,0.04750723666619711,0.8133214313705549,0.0009045084971874736
11,0.01831222590306935,0.0579505671326797,0.8480140882989914,0.0008852566213878945
12,0.015433912138507358,0.04372242231044435,0.8291719047532233,0.0008644843137107056
13,0.013454458911940189,0.056804854935152076,0.8491211775436859,0.0008422735529643443
14,0.011355903321583687,0.12209933091493358,0.7746361157984927,0.0008187119948743448
15,0.010142189118724868,0.11354857767098799,0.7756188247797031,0.0007938926261462366
16,0.008957106002455919,0.10078850171897906,0.8025644489643811,0.0007679133974894982
17,0.007044541590201125,0.0615571770207731,0.8099353464337351,0.0007408768370508576
18,0.007374473859211135,0.07316886764252352,0.7947984215966825,0.0007128896457825362
19,0.006259076573144521,0.0791745277667271,0.8395684135277517,0.0006840622763423389
20,0.005785703168010051,0.05814667406914907,0.8546636887999006,0.0006545084971874735
21,0.0047017403270870235,0.16140837838319053,0.8285265646941643,0.0006243449435824271
22,0.004168212739649582,0.13712882983303695,0.8372909519978319,0.0005936906572928622
23,0.003963730492982492,0.07075708862323303,0.8416198576758118,0.000562666616782152
24,0.0033146303320027355,0.09725739725524532,0.8667140914896777,0.0005313952597646566
25,0.0026893410078948194,0.11108915568162007,0.8342653862529354,0.0004999999999999998
26,0.0023307622777863778,0.06807652455156703,0.8511847979646899,0.00046860474023534314
27,0.0019120632295100064,0.08833207100688932,0.8601947116341517,0.00043733338321784774
28,0.0018867598433587789,0.08613359625518349,0.8396912273219093,0.00040630934270713756
29,0.0017696030194451035,0.09170695287207879,0.8597985492611653,0.00037565505641757246
30,0.0013727184238934108,0.08455971589549567,0.8602187176998943,0.00034549150281252633
31,0.0013318298101557052,0.08370155485243003,0.8618430088041377,0.00031593772365766105
32,0.000882262828692789,0.09152696149342572,0.8674841202659226,0.00028711035421746355
33,0.0007922654997994908,0.0909872910108512,0.8587599005314682,0.0002591231629491422
34,0.0008116212011578641,0.0816646001612949,0.8697888891756362,0.00023208660251050145
35,0.0007911240122738761,0.09044461875731938,0.8629892702813248,0.00020610737385376337
36,0.0004176187955563751,0.11487122792956361,0.8693352584390723,0.00018128800512565502
37,0.0004858745883030523,0.10452121698022784,0.8641577132579404,0.00015772644703565555
38,0.0003027453315655811,0.11654039007330498,0.8498080331811829,0.00013551568628929425
39,0.00032522944007083666,0.11814754919185655,0.8578825617783684,0.00011474337861210535
40,0.0002770766303109189,0.096204729081375,0.8631854577266092,9.549150281252626e-05
41,0.00022888101084745377,0.10796923889470292,0.8640655549048368,7.783603724899252e-05
42,0.00018901129294018944,0.12032951171007161,0.8634247609642913,6.184665997806817e-05
43,0.00012442342102210452,0.1263194087091881,0.8580647113043552,4.7586473766990294e-05
44,0.00016285773373234705,0.11620002931647314,0.8607349755021048,3.5111757055874305e-05
