epoch,train_loss,val_loss,val_macro_f1,lr
1,0.31915131638139566,0.21080775322705692,0.5868299779603492,0.0009990133642141358
2,0.17297264557832265,0.16745772465902098,0.6154292253377495,0.000996057350657239
3,0.13435613253894033,0.14712645525701273,0.6248403342626799,0.0009911436253643444
4,0.12561481891053844,0.18450251857266597,0.6605984586312604,0.0009842915805643156
5,0.12347089819748466,0.11898666668358909,0.725223945007187,0.0009755282581475769
6,0.12317214855701587,0.27657722341468277,0.6476450443609355,0.0009648882429441258
7,0.11337204516398759,0.09559682295405865,0.795551903423787,0.0009524135262330099
8,0.09851698761588401,0.09588456081095581,0.7943376570486289,0.0009381533400219318
9,0.09500614692332889,0.1081424443295259,0.7451673871430455,0.0009221639627510075
10,0.09310720048597167,0.11058433902558427,0.7829137121616889,0.0009045084971874736
11,0.08882426972409466,0.10436162504198483,0.7950367098503923,0.0008852566213878945
12,0.08394131513970594,0.09301095201692709,0.8110596480097061,0.0008644843137107056
13,0.07834691616638176,0.08749924132163754,0.7926656898300566,0.0008422735529643443
14,0.07442297424382806,0.10565226935894154,0.8113922404181887,0.0008187119948743448
15,0.07268274455143992,0.0881702015698384,0.839116691799999,0.0007938926261462366
16,0.06571339816495068,0.09780809564602608,0.8288554664225122,0.0007679133974894982
17,0.06230734959456434,0.08893394623344766,0.8129351517861446,0.0007408768370508576
18,0.05731362257509004,0.11963294240208207,0.8013152022325688,0.0007128896457825362
19,0.05372305116109387,0.09296146233677965,0.8226550821130709,0.0006840622763423389
20,0.04800242097894596,0.10631384551574656,0.8209561894537823,0.0006545084971874735
21,0.044149079556696114,0.11252724555682646,0.8344013984839882,0.0006243449435824271
22,0.039933406397023835,0.11014763865989943,0.8007754960379065,0.0005936906572928622
23,0.035321959372968524,0.10675655625911393,0.8392476610956031,0.000562666616782152
24,0.030867634097781694,0.11894102719420784,0.8413695484446222,0.0005313952597646566
25,0.025970646750188314,0.11421971340839618,0.8348653226762859,0.0004999999999999998
26,0.022045174795083826,0.13790300856912086,0.8285615536845845,0.00046860474023534314
27,0.01938828482712743,0.1479216952812518,0.8286768433162668,0.00043733338321784774
28,0.01575641704859617,0.14532560039610704,0.8182744838061479,0.00040630934270713756
29,0.013985552467217907,0.15636591587707843,0.8427488833272139,0.00037565505641757246
30,0.010164289418590718,0.17526221898433367,0.8348931275372493,0.00034549150281252633
31,0.008938036662157204,0.17326075063285593,0.8395744905315888,0.00031593772365766105
32,0.008015983060585765,0.1742399782752959,0.8371951162287163,0.00028711035421746355
33,0.009460866867359929,0.1741654235507979,0.8421539279345635,0.0002591231629491422
34,0.004423559574427521,0.19383338769784056,0.8348733478312587,0.00023208660251050145
35,0.002947112649235555,0.20982702635374795,0.8468389199572139,0.00020610737385376337
36,0.002882434747917779,0.22056963940683685,0.8419468383054007,0.00018128800512565502
37,0.0018736843374184383,0.23243288072727267,0.8348585680398638,0.00015772644703565555
38,0.002312074748935227,0.2446439585052995,0.8351569329125468,0.00013551568628929425
39,0.0013594856481363167,0.25853682004193007,0.8326862047277214,0.00011474337861210535
40,0.0010804574627563735,0.2616029605159288,0.8387079034713661,9.549150281252626e-05
41,0.0010819063415299143,0.25371830638184606,0.8321281812111146,7.783603724899252e-05
42,0.000598858179903189,0.26223441548095805,0.8436900949136571,6.184665997806817e-05
43,0.0004297673520462662,0.26823854605877234,0.8413488161739637,4.7586473766990294e-05
44,0.000539523201766525,0.2710231168860798,0.8398224425635639,3.5111757055874305e-05
45,0.0003307089277531287,0.2744972271789395,0.8378005629052384,2.4471741852423218e-05
