epoch,train_loss,val_loss,val_macro_f1,lr
1,0.22770831170015843,0.18034886608000564,0.5794078979506617,0.0009990133642141358
2,0.13932501945391307,0.14312636839742904,0.7193555276770538,0.000996057350657239
3,0.12271256550387319,0.1733537856845747,0.7029224363193778,0.0009911436253643444
4,0.11335246743439746,0.10143829662082142,0.762582252298844,0.0009842915805643156
5,0.10459171144380011,0.09621922596235097,0.8129931373570655,0.0009755282581475769
6,0.09985683478357409,0.1131167084947059,0.7843972413549132,0.0009648882429441258
7,0.09276290381469927,0.08762641463855114,0.8470782978239745,0.0009524135262330099
8,0.08828645017863833,0.08312733490642522,0.83464613349851,0.0009381533400219318
9,0.08407838749878076,0.11396819963044559,0.814210052826834,0.0009221639627510075
10,0.0818784622104896,0.08062582679634023,0.8594228885424502,0.0009045084971874736
11,0.07923718865697188,0.07978182715341435,0.8555904860291426,0.0008852566213878945
12,0.07572150064489148,0.0705901245299994,0.8594938169245085,0.0008644843137107056
13,0.07549838079642393,0.08247445159143466,0.8401719355323854,0.0008422735529643443
14,0.07152282107646787,0.07069354611353991,0.8813453102061001,0.0008187119948743448
15,0.07105972050836679,0.07066944160133982,0.8725897491216565,0.0007938926261462366
16,0.06849430930584537,0.08375936720958142,0.8485028120486223,0.0007679133974894982
17,0.06669185584047801,0.08111593900966042,0.8687758341252734,0.0007408768370508576
18,0.06575166335704699,0.06750762311241496,0.8812048903640967,0.0007128896457825362
19,0.0636227005884777,0.06762243061360297,0.8875752499936178,0.0006840622763423389
20,0.06257690534292017,0.07044702729045788,0.8641243121364357,0.0006545084971874735
21,0.060509095187406346,0.07111271703822651,0.8792712801388886,0.0006243449435824271
22,0.059642458206433685,0.06923202332536409,0.8743101333779343,0.0005936906572928622
23,0.05795039190007128,0.07504058281211268,0.8750697384850977,0.000562666616782152
24,0.056680124952895844,0.06675305280445867,0.8815823541900036,0.0005313952597646566
25,0.05444111817359515,0.06665183999272442,0.8867402375614808,0.0004999999999999998
26,0.05269934227107293,0.06439273301301311,0.8839125788966893,0.00046860474023534314
27,0.05109621249304243,0.06465249515641114,0.8850471842771467,0.00043733338321784774
28,0.050688934531083765,0.06266148907871927,0.8777475156164791,0.00040630934270713756
29,0.04930641491605878,0.07786390577304612,0.8644654263676234,0.00037565505641757246
